row_index,parse_ok,length,finite_count,nonfinite_count,min,max,mean,split
232,True,2151,2151,0,0.06,1.037,0.533185960018596,original
233,True,2151,2151,0,0.074,1.086,0.5107354718735473,original
234,True,2151,2151,0,0.047,1.052,0.5432254765225477,original
235,True,2151,2151,0,0.049,1.018,0.6051580660158066,original
236,True,2151,2151,0,0.054,1.036,0.4648005578800558,original
237,True,2151,2151,0,0.062,0.934,0.481513249651325,original
238,True,2151,2151,0,0.064,0.912,0.4593421664342166,original
239,True,2151,2151,0,0.055,0.912,0.4427294281729428,original
240,True,2151,2151,0,0.057,0.925,0.45517712691771267,original
241,True,2151,2151,0,0.058,0.912,0.449117619711762,original
242,True,2151,2151,0,0.051,0.894,0.4608321710832171,original
243,True,2151,2151,0,0.046,0.9,0.481837749883775,original
244,True,2151,2151,0,0.069,1.003,0.4909642026964202,original
245,True,2151,2151,0,0.064,0.976,0.48472524407252443,original
246,True,2151,2151,0,0.054,0.94,0.5012064156206416,original
247,True,2151,2151,0,0.073,1.016,0.5031794514179451,original
248,True,2151,2151,0,0.066,0.985,0.44983077638307767,original
249,True,2151,2151,0,0.073,1.013,0.514718270571827,original
250,True,2151,2151,0,0.07,0.996,0.5058489074848908,original
251,True,2151,2151,0,0.073,1.04,0.5336954904695491,original
252,True,2151,2151,0,0.074,1.029,0.5435443979544398,original
253,True,2151,2151,0,0.046,1.054,0.4902282659228265,original
254,True,2151,2151,0,0.062,1.002,0.46607903300790327,original
255,True,2151,2151,0,0.05,0.998,0.45425987912598786,original
256,True,2151,2151,0,0.051,1.042,0.5284258484425849,original
257,True,2151,2151,0,0.052,0.994,0.5339005113900511,original
258,True,2151,2151,0,0.053,0.992,0.4845299860529986,original
259,True,2151,2151,0,0.052,1.033,0.4779195722919572,original
260,True,2151,2151,0,0.073,0.996,0.4804700139470014,original
261,True,2151,2151,0,0.068,0.99,0.5164500232450023,original
262,True,2151,2151,0,0.051,0.985,0.45362064156206416,original
263,True,2151,2151,0,0.065,1.031,0.5025722919572292,original
264,True,2151,2151,0,0.051,0.926,0.41711343561134356,original
265,True,2151,2151,0,0.071,0.995,0.46498279869827985,original
266,True,2151,2151,0,0.064,0.986,0.47053881915388185,original
267,True,2151,2151,0,0.069,1.015,0.5555546257554625,original
268,True,2151,2151,0,0.075,0.998,0.5132380288238029,original
269,True,2151,2151,0,0.058,0.999,0.5224635053463506,original
270,True,2151,2151,0,0.06,0.97,0.5190906555090655,original
271,True,2151,2151,0,0.057,1.022,0.5614769874476988,original
272,True,2151,2151,0,0.049,0.91,0.4208354253835425,original
273,True,2151,2151,0,0.052,0.992,0.48080660158066013,original
274,True,2151,2151,0,0.05,0.93,0.4505550906555091,original
275,True,2151,2151,0,0.053,0.956,0.47040120874012087,original
276,True,2151,2151,0,0.049,0.899,0.41466248256624827,original
277,True,2151,2151,0,0.058,0.957,0.4848275220827522,original
278,True,2151,2151,0,0.059,0.939,0.48985727568572757,original
279,True,2151,2151,0,0.062,0.905,0.440721059972106,original
280,True,2151,2151,0,0.068,0.945,0.44929753602975364,original
281,True,2151,2151,0,0.062,0.886,0.4229167828916783,original
282,True,2151,2151,0,0.056,0.929,0.46537889353788936,original
283,True,2151,2151,0,0.054,0.95,0.5587331473733148,original
284,True,2151,2151,0,0.06,0.93,0.44510692701069265,original
285,True,2151,2151,0,0.054,0.96,0.5047117619711762,original
286,True,2151,2151,0,0.068,0.945,0.44929753602975364,original
287,True,2151,2151,0,0.059,0.939,0.48985727568572757,original
