stage,change_type,spectral_index_retained,wavelength_nm,mean_reflectance,smoothed_reflectance,first_derivative,second_derivative,score
Stage2,slope_curvature_change,1831,2231.0,0.3112553358078003,0.3110666669997746,-0.0004423031287145718,-7.451563736030065e-05,7.419318822651788e-05
Stage2,slope_curvature_change,1908,2308.0,0.22863830626010895,0.2292510982211351,-0.0005311186897499903,9.256614104102834e-05,9.253892973357797e-05
Stage3,local_maximum,191,591.0,0.12523402273654938,0.12501878292573515,1.4507739798760855e-05,-8.628754038845013e-05,0.04241035651124994
Stage3,slope_curvature_change,214,614.0,0.11334042996168137,0.1136762026773829,-9.776720307583947e-05,9.931122760026972e-05,9.783023258426449e-05
Stage3,local_minimum,271,671.0,0.08253191411495209,0.08260842641448521,-1.87618789230376e-06,0.00017710258082927546,0.04241035651124994
Stage3,slope_curvature_change,282,682.0,0.09469147771596909,0.09496878822407137,0.002368397127721217,0.00023769788554793905,0.00023754941545737
Stage3,local_maximum,719,1119.0,0.9166277647018433,0.916607749782751,-1.6857458084218457e-05,-3.255835159535203e-05,0.7549533938118147
Stage3,slope_curvature_change,759,1159.0,0.8831595778465271,0.8832617955388813,-0.0007103115805408566,7.069087363628657e-05,7.066839155259186e-05
Stage3,local_minimum,795,1195.0,0.8738403916358948,0.8738207595029077,-1.0742367501259675e-05,3.272921844477139e-05,0.03494675721928231
Stage3,local_maximum,875,1275.0,0.9087979793548584,0.90876751672219,2.994492992069997e-06,-1.401096561312598e-05,0.03494675721928231
Stage3,slope_curvature_change,981,1381.0,0.759223461151123,0.7583590050005694,-0.004990260805853464,-0.0002919516900707353,0.000291818407629707
Stage3,local_minimum,1047,1447.0,0.4573829472064972,0.4572569804324511,-1.084444701024423e-05,5.1299404454210884e-05,0.19634979730645497
Stage3,local_maximum,1244,1644.0,0.6537235975265503,0.6536067777389061,-1.9282530527964248e-05,-5.9601106710216456e-05,0.19634979730645497
Stage3,slope_curvature_change,1248,1648.0,0.6532127857208252,0.6530266951135354,-0.00027956865183176305,-6.770784469861679e-05,6.664285694502059e-05
Stage3,slope_curvature_change,1325,1725.0,0.5875425338745117,0.5877105625987821,-0.00048555498092300864,8.841289591768331e-05,8.781877370719893e-05
Stage3,slope_curvature_change,1503,1903.0,0.26308515667915344,0.26369178511667757,-0.006274091722310693,0.00039985858597858803,0.00039982584983469516
