stage,spectral_index_retained,wavelength_nm,mean_reflectance,smoothed_reflectance,first_derivative,second_derivative,abs_second_derivative
Stage1,729,1129.0,0.8974102139472961,0.8972167402779799,-0.001156071031258643,-0.00012695582297048147,0.00012695582297048147
Stage1,730,1130.0,0.8962699770927429,0.8959971300595035,-0.0012851522459226827,-0.00013371209142812313,0.00013371209142812313
Stage1,731,1131.0,0.8949200510978699,0.8946464357861346,-0.0014234952141148893,-0.00014164208588321459,0.00014164208588321459
Stage1,732,1132.0,0.8935001492500305,0.8931501396312738,-0.001568436417689112,-0.00014378481831511802,0.00014378481831511802
Stage1,733,1133.0,0.8919999003410339,0.8915095629507563,-0.0017110648507451254,-0.0001412043618243819,0.0001412043618243819
Stage1,734,1134.0,0.8902798295021057,0.8897280099297835,-0.0018508451413378757,-0.00013616870207616705,0.00013616870207616705
Stage1,735,1135.0,0.8882997632026672,0.8878078726680806,-0.0019834022548974595,-0.00012950916986573247,0.00012950916986573247
Stage1,736,1136.0,0.8862399458885193,0.8857612054199886,-0.0021098634810693406,-0.00012567136819061075,0.00012567136819061075
Stage1,737,1137.0,0.8839199542999268,0.8835881457059419,-0.002234744991278681,-0.00011732949201823106,0.00011732949201823106
Stage1,738,1138.0,0.8817700147628784,0.8812917154374312,-0.0023445224651058028,-0.00010297416176036078,0.00010297416176036078
Stage1,739,1139.0,0.8793400526046753,0.8788991007757303,-0.0024406933147994025,-9.124262025037022e-05,9.124262025037022e-05
Stage1,740,1140.0,0.8767498135566711,0.8764103288078324,-0.002527007705606543,-7.529258095154145e-05,7.529258095154145e-05
Stage1,741,1141.0,0.8741499185562134,0.8738450853645172,-0.0025912784767024855,-5.408109066190603e-05,5.408109066190603e-05
Stage1,742,1142.0,0.8714299201965332,0.8712277718544275,-0.0026351698869303553,-3.5212769922021714e-05,3.5212769922021714e-05
Stage1,743,1143.0,0.8686498999595642,0.8685747455906565,-0.002661704016546529,-1.5147101928458806e-05,1.5147101928458806e-05
Stage1,744,1144.0,0.8659000992774963,0.8659043638213344,-0.002665464090787273,7.786280899757525e-06,7.786280899757525e-06
Stage1,745,1145.0,0.8631600141525269,0.863243817409082,-0.002646131454747014,2.692304103310561e-05,2.692304103310561e-05
Stage1,746,1146.0,0.8603599667549133,0.8606121009118404,-0.0026116180087210616,4.400740843690798e-05,4.400740843690798e-05
Stage1,747,1147.0,0.8577298521995544,0.8580205813916398,-0.002558116637873198,6.628081101550665e-05,6.628081101550665e-05
Stage1,748,1148.0,0.855120062828064,0.855495867636094,-0.0024790563866900484,8.671415902111734e-05,8.671415902111734e-05
Stage1,749,1149.0,0.8525799512863159,0.8530624686182597,-0.002384688319830963,9.794926538495008e-05,9.794926538495008e-05
Stage1,750,1150.0,0.850240170955658,0.850726490996432,-0.002283157855920148,0.00010643515346719923,0.00010643515346719923
Stage1,751,1151.0,0.8478999137878418,0.8484961529064194,-0.0021718180128965647,0.00011490145561632303,0.00011490145561632303
Stage1,752,1152.0,0.8457199931144714,0.8463828549706389,-0.002053354944687502,0.00012440863152540782,0.00012440863152540782
Stage1,753,1153.0,0.8438400030136108,0.8443894430170444,-0.001923000749845749,0.0001341109630709214,0.0001341109630709214
