stage,n_samples,spectral_index_retained,wavelength_nm,mean_reflectance,std_reflectance,smoothed_reflectance,first_derivative,second_derivative
Fresh,100,74,474.0,0.05742000415921211,0.025181015953421593,0.057415199358590956,-5.0530833254226054e-05,5.6128292320462014e-06
Fresh,100,75,475.0,0.05741000548005104,0.025157544761896133,0.057366694446618315,-4.513442911119672e-05,5.393052455391831e-06
Fresh,100,76,476.0,0.057350002229213715,0.025234254077076912,0.05732493050036856,-3.974472834344239e-05,4.613974045660635e-06
Fresh,100,77,477.0,0.05730999633669853,0.025283075869083405,0.05728720498993143,-3.590648101987545e-05,5.565798807604175e-06
Fresh,100,78,478.0,0.05727999657392502,0.02529430016875267,0.05725311753832881,-2.8613130728234043e-05,7.680629986836496e-06
Fresh,100,79,479.0,0.05723999813199043,0.0253022238612175,0.05722997872847496,-2.054522104620246e-05,5.777151489515589e-06
Fresh,100,80,480.0,0.05716998875141144,0.025285592302680016,0.057212027096236406,-1.7058827749202865e-05,2.509955682563833e-06
Fresh,100,81,481.0,0.05721999704837799,0.0251962598413229,0.057195861072976556,-1.5525309681074795e-05,2.487087753192535e-06
Fresh,100,82,482.0,0.05717999488115311,0.025184670463204384,0.05718097647687426,-1.2084652242817795e-05,3.53417855514411e-06
Fresh,100,83,483.0,0.057149991393089294,0.02518228441476822,0.05717169176849092,-8.456952570786574e-06,3.1840003253125193e-06
Fresh,100,84,484.0,0.05719998851418495,0.025214679539203644,0.057164062571732684,-5.716651592192756e-06,3.446088567948813e-06
Fresh,100,85,485.0,0.057149991393089294,0.025255246087908745,0.057160258465306535,-1.5647754348889487e-06,6.322818273795522e-06
Fresh,100,86,486.0,0.05713999271392822,0.025246787816286087,0.057160933020862906,6.928984955398287e-06,9.198759712895216e-06
Fresh,100,87,487.0,0.05720999836921692,0.0252219308167696,0.05717411643521733,1.6832743990901483e-05,8.295453570290878e-06
Fresh,100,88,488.0,0.057239994406700134,0.025336189195513725,0.05719459850884471,2.3519892095980044e-05,6.170856265096808e-06
Fresh,100,89,489.0,0.05725999176502228,0.02529609575867653,0.05722115621940929,2.91744565210951e-05,6.286248252801441e-06
Fresh,100,90,490.0,0.0573199987411499,0.025251485407352448,0.0572529474218869,3.6092388601582925e-05,8.36586377951816e-06
Fresh,100,91,491.0,0.05733999237418175,0.025238152593374252,0.05729334099661246,4.590618408013142e-05,1.071518416462594e-05
Fresh,100,92,492.0,0.057419996708631516,0.02522941865026951,0.05734475979004716,5.7522756930834806e-05,1.1785142519241468e-05
Fresh,100,93,493.0,0.05745000019669533,0.025222359225153923,0.05740838651047413,6.947646911861435e-05,1.2185713879946103e-05
Fresh,100,94,494.0,0.05750000476837158,0.02525331825017929,0.05748371272828439,8.189418469072701e-05,1.2745313867757943e-05
Fresh,100,95,495.0,0.05768000707030296,0.025237228721380234,0.05757217487985558,9.496709685413024e-05,1.520074202153443e-05
Fresh,100,96,496.0,0.05781000480055809,0.02521415986120701,0.05767364692199265,0.00011229566873379587,1.9014348616031365e-05
Fresh,100,97,497.0,0.057860005646944046,0.025260649621486664,0.05779676621732317,0.00013299579408619297,2.1164045106986454e-05
Fresh,100,98,498.0,0.057970013469457626,0.025270715355873108,0.05793963851016504,0.00015462375894776878,2.460526563329013e-05
Fresh,100,99,499.0,0.05819001793861389,0.025256166234612465,0.05810601373521871,0.00018220632535277323,2.9209620375912626e-05
Fresh,100,100,500.0,0.05842000991106033,0.025215545669198036,0.05830405116087058,0.00021304299969959403,3.342705292161234e-05
Fresh,100,101,501.0,0.058670006692409515,0.02526066079735756,0.0585320997346179,0.0002490604311959979,4.070215695685386e-05
Fresh,100,102,502.0,0.058949995785951614,0.02525445446372032,0.05880217202326258,0.00029444731361330176,4.810432592023545e-05
Fresh,100,103,503.0,0.05921000987291336,0.025224708020687103,0.0591209943618445,0.0003452690830364688,5.390487527663981e-05
Fresh,100,104,504.0,0.05953000485897064,0.02522437460720539,0.05949271018933552,0.0004022570641665814,6.130906792890106e-05
Fresh,100,105,505.0,0.05999999865889549,0.025171412155032158,0.059925508490177665,0.00046788721889427093,6.977220354357529e-05
Fresh,100,106,506.0,0.060520004481077194,0.02516961470246315,0.06042848462712406,0.000541801471253732,7.912253113180091e-05
Fresh,100,107,507.0,0.061030007898807526,0.025220807641744614,0.06100911143268513,0.0006261322811578728,8.950274129139804e-05
Fresh,100,108,508.0,0.061619993299245834,0.025132758542895317,0.061680749189439804,0.000720806953836528,9.810632419276523e-05
Fresh,100,109,509.0,0.06233999878168106,0.02511780895292759,0.062450725340358185,0.0008223449295434032,0.00010734926658695354
Fresh,100,110,510.0,0.06314999610185623,0.025046106427907944,0.06332543904852661,0.0009355054870104351,0.00011879359542892043
Fresh,100,111,511.0,0.06406999379396439,0.02507399395108223,0.06432173631437905,0.001059932120401244,0.00012389317268650737
Fresh,100,112,512.0,0.06509999930858612,0.025096414610743523,0.0654453032893291,0.0011832918323834499,0.000123314367902385
