stage,change_type,spectral_index_retained,wavelength_nm,mean_reflectance,smoothed_reflectance,first_derivative,second_derivative,score,score_abs,score_norm,common_id,common_representative_wavelength_nm
Stage3,local_minimum,1359,1759.0,0.5936199426651001,0.5937831979367166,-1.9551131153705548e-05,5.51867089048641e-05,0.026107264211196468,0.026107264211196468,0.08357486689671918,12,1759.0
Dry,slope_curvature_change,1416,1816.0,0.7094499468803406,0.7094401682407806,0.0007670730162538941,-0.00024280047130986748,0.00024224678219259,0.00024224678219259,0.31326676102472073,13,1928.0
Stage3,local_maximum,1440,1840.0,0.6199200749397278,0.6198904621479131,-1.5008541773220418e-05,-5.884747773288179e-05,0.026107264211196468,0.026107264211196468,0.030579818257081302,13,1928.0
Dry,local_maximum,1461,1861.0,0.7357701063156128,0.7354811521773974,-2.6985901963594294e-05,-8.271919522540028e-05,0.0769223031555003,0.0769223031555003,0.09010021239232362,13,1928.0
Dry,slope_curvature_change,1486,1886.0,0.7033898830413818,0.7028294076137195,-0.003774791509922437,-0.0003364156520647976,0.0003361488679371888,0.0003361488679371888,0.43469831106813706,13,1928.0
Fresh,slope_curvature_change,1493,1893.0,0.08886997401714325,0.08985109501801933,-0.004832877179206177,0.0003749341648857374,0.0003747698693747359,0.0003747698693747359,0.4846419095686646,13,1928.0
Stage1,slope_curvature_change,1496,1896.0,0.12681999802589417,0.1277891161467012,-0.005738015146958798,0.0004252570366061366,0.00042498170416354134,0.00042498170416354134,0.5495744494646625,13,1928.0
Stage2,slope_curvature_change,1498,1898.0,0.18436996638774872,0.18522337428333485,-0.006796624905142587,0.0004437651422294006,0.00044365540607922,0.00044365540607922,0.5737227583194529,13,1928.0
Stage3,slope_curvature_change,1503,1903.0,0.27163001894950867,0.27242653108947684,-0.006626723744995816,0.0004502414526158238,0.00045019579680806443,0.00045019579680806443,0.5821806086195337,13,1928.0
Stage1,local_minimum,1528,1928.0,0.07392001897096634,0.07387944811174853,8.069032279359178e-06,3.977268045212562e-05,0.20060254482063666,0.20060254482063666,0.6421711155524984,13,1928.0
Stage3,local_minimum,1528,1928.0,0.20890003442764282,0.20888920553575577,-4.402658300220463e-05,0.00011445366811288493,0.1865917495416484,0.1865917495416484,0.5973196006221655,13,1928.0
Stage2,local_minimum,1528,1928.0,0.11699002236127853,0.11696559875006687,-4.310903371745889e-06,6.991225669690515e-05,0.21246479297957696,0.21246479297957696,0.6801446773535131,13,1928.0
Fresh,local_minimum,1528,1928.0,0.04684000462293625,0.04680186997473959,-6.831674601599086e-06,1.8587081664578342e-05,0.165406410451545,0.165406410451545,0.5295008556056761,13,1928.0
Dry,local_minimum,1531,1931.0,0.528499960899353,0.5283427854762572,1.2260275815745292e-05,0.00010999925385615783,0.062036394012118024,0.062036394012118024,0.19859160003795673,13,1928.0
Dry,local_maximum,1599,1999.0,0.5903398990631104,0.5903791794883753,-2.0154515922299332e-05,-6.555319465270659e-05,0.062036394012118024,0.062036394012118024,0.07266413052202055,14,1999.0
Dry,slope_curvature_change,1657,2057.0,0.4806399941444397,0.4809409852896386,-0.001560283820469216,0.00011859462154878431,0.00011723597363255678,0.00011723597363255678,0.1516062810124461,15,2057.0
Dry,local_minimum,1708,2108.0,0.4599801003932953,0.45995816686043517,5.180229189827301e-06,2.1108066677696935e-05,0.03155065935064666,0.03155065935064666,0.1010003244462197,16,2108.0
Fresh,local_maximum,1815,2215.0,0.21222999691963196,0.2122082804262846,-6.177158161146945e-06,-2.4274578876472275e-05,0.1626674759981675,0.1626674759981675,0.19053478036311366,17,2216.0
Stage1,local_maximum,1815,2215.0,0.27448004484176636,0.2744819929323852,5.01961941448692e-06,-3.4725423293871516e-05,0.1956044005941544,0.1956044005941544,0.2291142791548912,17,2216.0
Stage3,local_maximum,1816,2216.0,0.39553987979888916,0.39548095507740416,1.2393956816542095e-05,-5.329033535618477e-05,0.1865917495416484,0.1865917495416484,0.2185576299031504,17,2216.0
Stage2,local_maximum,1816,2216.0,0.32943999767303467,0.32943039172964383,2.5877511131144892e-06,-4.266440982896025e-05,0.21246479297957696,0.21246479297957696,0.24886310196215347,17,2216.0
Dry,local_maximum,1816,2216.0,0.49157002568244934,0.49150882621108183,-2.4448045404995566e-05,-6.868551622830898e-05,0.03155065935064666,0.03155065935064666,0.03695574614900032,17,2216.0
Stage2,slope_curvature_change,1829,2229.0,0.3247399628162384,0.32461275601966905,-0.0008441684177110109,-9.265254072814144e-05,9.252503401274703e-05,9.252503401274703e-05,0.11965078527165672,17,2216.0
Stage3,slope_curvature_change,1832,2232.0,0.38609009981155396,0.38575850600888234,-0.0014293489278730531,-0.00011882331346228792,0.00011814707966054105,0.00011814707966054105,0.15278449783643602,17,2216.0
Dry,slope_curvature_change,1834,2234.0,0.4743199944496155,0.4739252166103432,-0.0022323560378393614,-0.00015947366387047968,0.00015527437304399538,0.00015527437304399538,0.2007964748731533,17,2216.0
Stage3,slope_curvature_change,1903,2303.0,0.2763800024986267,0.27687570768221864,-0.0005915565586678273,0.00012139747286002422,0.0001211446782541925,0.0001211446782541925,0.15666090846937022,18,2304.0
Stage2,slope_curvature_change,1904,2304.0,0.23035003244876862,0.23075237729024445,-0.0006039627020695548,9.154746570171762e-05,9.090278743311558e-05,9.090278743311558e-05,0.11755294138293769,18,2304.0
Dry,slope_curvature_change,1904,2304.0,0.3312601149082184,0.3321079203122572,-0.0003388159866821727,0.00019477070845566602,0.00019392547553541417,0.00019392547553541417,0.25077899921436475,18,2304.0
Dry,local_minimum,1906,2306.0,0.3307500183582306,0.3318192054394924,4.4903224538483943e-05,0.00018623282980152756,0.030526293346909483,0.030526293346909483,0.09772111251028874,18,2304.0
Dry,local_maximum,1999,2399.0,0.36243000626564026,0.3623454987864019,-1.2605515935765199e-05,-3.6302791596276585e-05,0.030526293346909483,0.030526293346909483,0.03575589135113217,19,2399.0
Stage3,slope_curvature_change,2081,2481.0,0.17559002339839935,0.17535026794750347,-0.00047513028134565927,7.970834357912127e-05,7.566144831083754e-05,7.566144831083754e-05,0.09784326806013782,20,2481.0
