source,row,parse_ok,length,finite_count,nonfinite_count,min,max,mean
train,134,True,2151,2151,0,0.052000001072883606,0.9380000233650208,0.3945671617984772
train,135,True,2151,2151,0,0.02800000086426735,0.8859999775886536,0.4049014449119568
train,136,True,2151,2151,0,0.027000000700354576,0.8970000147819519,0.38345929980278015
train,137,True,2151,2151,0,0.035999998450279236,0.921999990940094,0.37123385071754456
train,138,True,2151,2151,0,0.028999999165534973,0.8849999904632568,0.36665037274360657
train,139,True,2151,2151,0,0.05900000035762787,0.9309999942779541,0.3938981890678406
train,140,True,2151,2151,0,0.07000000029802322,0.9200000166893005,0.40616458654403687
train,141,True,2151,2151,0,0.12300000339746475,0.9589999914169312,0.4812747836112976
train,142,True,2151,2151,0,0.0729999989271164,0.9610000252723694,0.44879868626594543
train,143,True,2151,2151,0,0.08500000089406967,0.9240000247955322,0.43346071243286133
train,144,True,2151,2151,0,0.1509999930858612,0.9430000185966492,0.4887712299823761
train,145,True,2151,2151,0,0.0820000022649765,0.9440000057220459,0.44027337431907654
train,146,True,2151,2151,0,0.08100000023841858,0.9430000185966492,0.43317896127700806
train,147,True,2151,2151,0,0.09700000286102295,0.9789999723434448,0.4555155634880066
train,148,True,2151,2151,0,0.052000001072883606,0.9440000057220459,0.4155011773109436
train,149,True,2151,2151,0,0.05700000002980232,0.9580000042915344,0.4218507707118988
train,150,True,2151,2151,0,0.16300000250339508,0.9160000085830688,0.48804277181625366
train,151,True,2151,2151,0,0.09000000357627869,0.9309999942779541,0.4543551802635193
train,152,True,2151,2151,0,0.0430000014603138,0.8809999823570251,0.38579729199409485
train,153,True,2151,2151,0,0.125,0.9020000100135803,0.46248117089271545
train,154,True,2151,2151,0,0.054999999701976776,0.8920000195503235,0.398183137178421
train,155,True,2151,2151,0,0.04899999871850014,0.8650000095367432,0.3945741653442383
train,156,True,2151,2151,0,0.05700000002980232,0.9010000228881836,0.4440367519855499
train,157,True,2151,2151,0,0.06300000101327896,0.949999988079071,0.4817694127559662
train,158,True,2151,2151,0,0.06499999761581421,0.8659999966621399,0.41143980622291565
train,159,True,2151,2151,0,0.05299999937415123,0.8920000195503235,0.42525896430015564
train,160,True,2151,2151,0,0.050999999046325684,0.859000027179718,0.40991494059562683
train,161,True,2151,2151,0,0.05000000074505806,0.8460000157356262,0.4028874635696411
train,162,True,2151,2151,0,0.04500000178813934,0.8730000257492065,0.4344286322593689
train,163,True,2151,2151,0,0.06300000101327896,0.906000018119812,0.43819618225097656
train,164,True,2151,2151,0,0.13099999725818634,0.8370000123977661,0.45037752389907837
train,165,True,2151,2151,0,0.07900000363588333,0.9229999780654907,0.4629739224910736
train,166,True,2151,2151,0,0.06300000101327896,0.9210000038146973,0.45217573642730713
train,167,True,2151,2151,0,0.04500000178813934,0.8870000243186951,0.431353360414505
