stage,change_type,spectral_index_retained,wavelength_nm,mean_reflectance,smoothed_reflectance,first_derivative,second_derivative,score
Stage2,slope_curvature_change,191,591.0,0.31227657198905945,0.3095544568718798,-0.002155351192316579,-0.0007840550442184957,0.0007805388956879239
Stage2,local_minimum,216,616.0,0.18331916630268097,0.184126597161908,3.119828272714342e-05,0.0006241674191887203,0.045216694988051864
Stage2,slope_curvature_change,241,641.0,0.22530852258205414,0.22434778149579937,-0.0025481769787021324,-0.0006669439064237379,0.0006348116746962354
Stage2,local_minimum,271,671.0,0.08243616670370102,0.08175476702770502,6.164051498171869e-05,0.00039736079201831837,0.2307955187075048
Stage2,slope_curvature_change,318,718.0,0.7047978639602661,0.7009747082747579,0.01601028776600316,-0.0011777088764837185,0.0011776919252638914
Stage2,local_maximum,666,1066.0,1.0137979984283447,1.0138081907803735,5.668956838733585e-06,-1.6748308472369633e-05,0.9394291968632933
Stage2,slope_curvature_change,980,1380.0,0.6685425639152527,0.6669403231352261,-0.009117555036343317,-0.0005010667265769597,0.000500810581507749
Stage2,local_minimum,1042,1442.0,0.2770744562149048,0.2770308459542735,1.3057360611495872e-05,5.24028046257341e-05,0.3276820062524042
Stage2,local_maximum,1251,1651.0,0.6048083901405334,0.6047128522066777,3.5936284660254003e-06,-2.8065510605690402e-05,0.3276820062524042
Stage2,slope_curvature_change,1495,1895.0,0.12532977759838104,0.12648093479656122,-0.006184209430858831,0.00045201475465033586,0.000451667279883515
Stage2,local_minimum,1526,1926.0,0.06869149208068848,0.06866130185797258,1.3846207878351335e-05,4.452711299162207e-05,0.22269063524992233
Stage2,local_maximum,1826,2226.0,0.29144683480262756,0.2913519371078949,1.0179064731663523e-06,-3.932360384531486e-05,0.20771617200849324
Stage3,slope_curvature_change,127,527.0,0.14887236058712006,0.14656608526349837,0.0017157519681289812,-0.00032782759387466054,0.00031772810057527356
Stage3,local_maximum,188,588.0,0.2818297743797302,0.28041958332585154,8.943384922555087e-05,-0.0006091864556390519,0.2022712220707007
Stage3,slope_curvature_change,191,591.0,0.2801915407180786,0.27779215937864526,-0.0018927814458338799,-0.000688948963032926,0.0006869544842713279
Stage3,local_minimum,216,616.0,0.16763831675052643,0.1682465607879533,3.169648313876283e-05,0.000543602993803162,0.0394983336258625
Stage3,slope_curvature_change,241,641.0,0.20430846512317657,0.2033902652865221,-0.0022264096284312085,-0.0005827014311802839,0.0005575165671279983
Stage3,local_minimum,271,671.0,0.07864892482757568,0.07814836125515084,7.114344046599969e-05,0.0003616230614880249,0.2022712220707007
Stage3,slope_curvature_change,318,718.0,0.6339788436889648,0.6302417925243171,0.01519069075132301,-0.0010252783069512605,0.001025027216395448
Stage3,local_maximum,668,1068.0,0.9757449626922607,0.9757284051680413,3.130042476873207e-07,-1.2254741184852813e-05,0.8688897721637499
Stage3,slope_curvature_change,981,1381.0,0.7038617134094238,0.7026455194188718,-0.00763852315829483,-0.0004291717143496965,0.0004290027431077259
Stage3,local_minimum,1043,1443.0,0.34887221455574036,0.3488192457239621,2.334095196362962e-05,5.765133971984138e-05,0.2780051306515324
Stage3,local_maximum,1247,1647.0,0.6269253492355347,0.6268243763754945,-2.066456689331364e-05,-4.535181594214621e-05,0.2780051306515324
Stage3,slope_curvature_change,1498,1898.0,0.17040421068668365,0.1710151497081324,-0.006372231061130579,0.0004161384134854576,0.00041613059372856004
Stage3,local_minimum,1526,1926.0,0.1079893708229065,0.10791989873511569,1.1104617231305625e-05,7.567937921068232e-05,0.21377599092205474
Stage3,local_maximum,1827,2227.0,0.3217022120952606,0.32169588965717044,1.5337363342055044e-05,-5.2462522283650004e-05,0.21377599092205474
Dry,slope_curvature_change,127,527.0,0.13956382870674133,0.13791282661917928,0.0010675194188507625,-0.000227897378909582,0.00022687794449856302
Dry,local_maximum,187,587.0,0.21761702001094818,0.21702321589787915,9.899556829685852e-05,-0.00032128143212904053,0.13175289787405114
Dry,slope_curvature_change,191,591.0,0.21586169302463531,0.21463004614871156,-0.001337542697457214,-0.0003753542084130382,0.0003658962602808846
Dry,slope_curvature_change,241,641.0,0.17011703550815582,0.16968324434869342,-0.0015396075619883154,-0.00034084272316532715,0.000325913624931215
Dry,local_minimum,271,671.0,0.08540425449609756,0.08527031802382802,-2.514817922875945e-05,0.00029779467454831357,0.13175289787405114
Dry,slope_curvature_change,317,717.0,0.36146804690361023,0.36016737846382296,0.006525959138085763,-0.00037739481349385873,0.00037725520570654897
Dry,slope_curvature_change,585,985.0,0.9219254851341248,0.9219518347328151,0.0003598292142269477,0.00010302271974602095,0.0001029801831013144
Dry,local_maximum,714,1114.0,0.9584258198738098,0.9583957513044494,-1.6815694450222907e-06,-1.3957963950234076e-05,0.7107746417796057
Dry,slope_curvature_change,1039,1439.0,0.6722874045372009,0.6726472020233375,-0.002886001427140572,0.0002771438671949067,0.0002769932854536361
Dry,local_minimum,1053,1453.0,0.6556490063667297,0.6554803058440031,9.662519271258496e-06,0.00011069687502077152,0.0892769438647314
Dry,local_maximum,1236,1636.0,0.7447871565818787,0.7447572497087345,-8.50440265071084e-06,-4.398071322284092e-05,0.0892769438647314
Dry,slope_curvature_change,1245,1645.0,0.7426170706748962,0.7424207703326082,-0.0005532551979871569,-7.091562515784688e-05,7.06560490093544e-05
Dry,slope_curvature_change,1326,1726.0,0.6747553944587708,0.6751053011300217,-0.0003622031052730179,0.00010035339724448478,9.884661997233701e-05
